Item Kas,Satuan,Jenis Item,Kategori Akun
Kertas Nasi,pcs,HPP,HPP
Keset,pcs,Peralatan,Beban Operasional
Ketumbar,gram,Mix Vegeatable,Beban Penjualan
Keyboard,pcs,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Kipas Angin,pcs,Peralatan,Beban Operasional
klaim obat kecelakaan,,Beban Pantry,Beban Operasional
Knop Kompor,pcs,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Kompor Portable,pcs,Peralatan,Beban Operasional
Kran Air,pcs,Pemeliharaan Gedung,Beban Operasional
Krimer Kental Manis,ml,HPP,HPP
Kuas,pcs,Perlengkapan,Beban Operasional
Kubis,gram,Mix Vegeatable,Beban Penjualan
Kunyit,gram,Mix Vegeatable,Beban Penjualan
Kunyit (bubuk),pcs,Mix Vegeatable,Beban Penjualan
Lampu Chicken Warm,pcs,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Lampu Neon Menu Board,pcs,Pemeliharaan Gedung,Beban Operasional
Lampu Ruangan,pcs,Pemeliharaan Gedung,Beban Operasional
Lap Meja/Serbet,pcs,Peralatan,Beban Operasional
Lebih Bayar,,Saldo,
Lem G (tetes),pcs,Perlengkapan,Beban Operasional
Lem Kertas,pcs,Beban ATK,Beban Operasional
Lem Pipa,pcs,Pemeliharaan Gedung,Beban Operasional
Listrik (Pascabayar),,Listrik,Beban Operasional
Lunch Box,pcs,HPP,HPP
Magic Com/Rice Cooker,pcs,Peralatan,Beban Operasional
Mangkok Cetakan Nasi,pcs,Peralatan,Beban Operasional
Map Tas Plastik,pcs,Beban ATK,Beban Operasional
Map/Stofmap,pcs,Beban ATK,Beban Operasional
Margarine/Mentega,gram,Perlengkapan,Beban Penjualan
Masker,pcs,Perlengkapan,Beban Penjualan
Mata Gerinda,pcs,Peralatan,Beban Operasional
Materai,pcs,Beban ATK,Beban Operasional
Mayonaise,gram,HPP,HPP
Meja Lipat,pcs,Peralatan,Beban Operasional
Microphone,pcs,Peralatan,Beban Operasional
Mika Hotdrums,pcs,HPP,HPP
Milo (pcs),pcs,HPP,HPP
Minyak Goreng,liter,Minyak Padat,Beban Penjualan
Minyak Padat,ml,Minyak Padat,Beban Penjualan
Minyak sayur,ml,Minyak Padat,Beban Penjualan
Mouse Laptop,pcs,Peralatan,Beban Operasional
Mukenah,pcs,Peralatan,Beban Operasional
Mushroom can,gram,Mix Vegeatable,Beban Penjualan
Nanas,gram,Mix Vegeatable,Beban Penjualan
Nasi Putih,pcs,Perlengkapan,Beban Penjualan
Nota Pesanan,pcs,Perlengkapan,Beban Penjualan
Obat- Obatan P3K,pcs,Peralatan,Beban Operasional
Obat/Semprotan Serangga,pcs,Janitorial,Beban Penjualan
Obeng,pcs,Pemeliharaan Gedung,Beban Operasional
Oli Sepeda Motor,pcs,Pemeliharaan kendaraan,Beban Operasional
Ongkir Bahan Baku,,Beban Ekspedisi,Beban Operasional
Ongkir DO,,Transportasi pengiriman,Beban Operasional
Ongkir Equipment,,Beban Ekspedisi,Beban Operasional
Pajak Store,,Beban Pajak,Beban Pajak
Pajak Transportasi/Kendaraan,,Beban Pajak,Beban Pajak
Paku,gram,Pemeliharaan Gedung,Beban Operasional
Paku Klem (penjeput kabel),pcs,Pemeliharaan Gedung,Beban Operasional
Palu,pcs,Pemeliharaan Gedung,Beban Operasional
Papan Dada,pcs,Beban ATK,Beban Operasional
Papan Tulis,pcs,Beban ATK,Beban Operasional
Paper Boat,pcs,HPP,HPP
Paper Struk,pcs,Perlengkapan,Beban Penjualan
Paprika,gram,Mix Vegeatable,Beban Penjualan
Payung,pcs,Peralatan,Beban Operasional
PDAM,,Air,Beban Operasional
Pel Lantai,pcs,Peralatan,Beban Penjualan
Pematik Api,pcs,Peralatan,Beban Operasional
Pembayaran Aset,,Hutang Lain-lain,Beban Operasional
Pembayaran Sewa,,Alokasi Sewa Tempat,Beban Operasional
Pembersih Lantai WC (Literan),liter,Janitorial,Beban Penjualan
Pembuka Botol,pcs,Peralatan,Beban Operasional
Pemutih/Bayclean,ml,Janitorial,Beban Penjualan
Penambahan Modal,,Hutang Berelasi,Beban Operasional
Pengamen,,Sumbangan,Beban Operasional
Pengasah Pisau,pcs,Peralatan,Beban Operasional
Pengatur suhu cup sealer,pcs,Perlengkapan,Beban Operasional
Penggandaan Kunci Store,,Pemeliharaan Gedung,Beban Operasional
Penghapus Papan Tulis,pcs,Beban ATK,Beban Operasional
Pengharum Raungan,pcs,Janitorial,Beban Operasional
Pengukur Suhu Minyak (thermometer),pcs,Perlengkapan,Beban Operasional
Peniup/Pompa Balon,pcs,Peralatan,Beban Operasional
Penjepit Makanan/Service Tounge,pcs,Peralatan,Beban Operasional
Penyedap,gram,Perlengkapan,Beban Penjualan
Perbaikan Equipment,,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Perbaikan Pure It,,Air,Beban Operasional
Perbaikan/Maintenance Listrik/Air,,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Pewangi Ruangan,pcs,Janitorial,Beban Operasional
Piala/Trophy,set,Biaya Promo Lainnya,Beban Marketing
Pipa L,pcs,Pemeliharaan Gedung,Beban Operasional
Pipa saluran air,pcs,Pemeliharaan Gedung,Beban Operasional
Pipa sambung,pcs,Pemeliharaan Gedung,Beban Operasional
Piring,pcs,Perlengkapan,Beban Operasional
Pisau,pcs,Peralatan,Beban Operasional
Pita Kain,pcs,Beban ATK,Beban Operasional
